Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,SYN Flag Count,ACK Flag Count,PSH Flag Count,Average Packet Size,Label,Original_Row_Number,Source_File
61165,1,1,58,114,2812.065724,32.69843865,76.66666667,0,0,0,115,BENIGN,320720,Monday-WorkingHours.pcap_ISCX.csv
52159,2,2,92,212,5828.332598,76.68858682,70,0,0,0,87.5,BENIGN,350413,Monday-WorkingHours.pcap_ISCX.csv
80,1,1,0,0,0,25000,0,0,1,0,0,BENIGN,495953,Monday-WorkingHours.pcap_ISCX.csv
64086809,2,0,6,0,0.093623011,0.03120767,2,0,1,0,3,BENIGN,430420,Monday-WorkingHours.pcap_ISCX.csv
31218,1,1,52,124,5637.77308,64.06560318,76,0,0,0,114,BENIGN,248875,Monday-WorkingHours.pcap_ISCX.csv
262,3,1,18,0,68702.29008,15267.17557,4.8,0,0,0,6,BENIGN,337258,Monday-WorkingHours.pcap_ISCX.csv
51063,2,2,74,198,5326.753226,78.33460627,61.8,0,0,0,77.25,BENIGN,490604,Monday-WorkingHours.pcap_ISCX.csv
115743288,24,21,908,6312,62.37942713,0.388791443,156.9565217,0,0,1,160.4444444,BENIGN,334806,Monday-WorkingHours.pcap_ISCX.csv
115222191,23,20,1187,3675,42.19673275,0.373192001,110.5,0,0,1,113.0697674,BENIGN,333283,Monday-WorkingHours.pcap_ISCX.csv
52,1,1,0,0,0,38461.53846,0,0,1,0,0,BENIGN,434505,Monday-WorkingHours.pcap_ISCX.csv
118725,11,6,801,2532,28073.27858,143.1880396,185.1666667,0,0,1,196.0588235,BENIGN,43180,Monday-WorkingHours.pcap_ISCX.csv
48357,4,2,172,186,7403.271502,124.077176,57.28571429,0,0,0,66.83333333,BENIGN,349520,Monday-WorkingHours.pcap_ISCX.csv
28822522,2,2,98,167,9.194198898,0.138780361,61.6,0,0,0,77,BENIGN,282717,Monday-WorkingHours.pcap_ISCX.csv
23971,2,2,60,264,13516.33223,166.8682992,70.8,0,0,0,88.5,BENIGN,345007,Monday-WorkingHours.pcap_ISCX.csv
472,1,1,0,0,0,4237.288136,0,0,1,0,0,BENIGN,461859,Monday-WorkingHours.pcap_ISCX.csv
1014742,3,5,26,11607,11463.99775,7.883777354,1292.555556,0,0,1,1454.125,DDoS,35580,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2835397,4,0,24,0,8.464423148,1.410737191,6,0,1,0,7.5,DDoS,46346,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
12161705,4,0,24,0,1.973407512,0.328901252,6,0,1,0,7.5,DDoS,99231,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
10993708,5,0,30,0,2.72883362,0.454805603,6,0,1,0,7.2,DDoS,118376,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
17511,3,4,26,11601,663982.6395,399.7487294,1453.375,0,0,1,1661,DDoS,44508,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
300733,3,5,26,11607,38682.15327,26.60166992,1292.555556,0,0,1,1454.125,DDoS,88269,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
71125479,9,6,62,11601,163.977806,0.210894889,729.3125,0,1,0,777.9333333,DDoS,20711,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
910380,3,5,26,11607,12778.18054,8.787539269,1292.555556,0,0,1,1454.125,DDoS,117891,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
82709905,9,4,62,11607,141.0834652,0.157175855,833.9285714,0,1,0,898.0769231,DDoS,92439,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
6076822,5,0,30,0,4.936790974,0.822798496,6,0,1,0,7.2,DDoS,188439,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
9977760,4,0,24,0,2.405349497,0.400891583,6,0,1,0,7.5,DDoS,131038,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
165302,3,6,26,11601,70337.92695,54.44580223,1162.7,0,0,1,1291.888889,DDoS,172354,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
5025871,5,0,30,0,5.969114607,0.994852435,6,0,1,0,7.2,DDoS,113161,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
81245213,9,5,62,11607,143.6269236,0.172317845,778.3333333,0,1,0,833.9285714,DDoS,106491,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
4973727,5,0,30,0,6.03169414,1.005282357,6,0,1,0,7.2,DDoS,43800,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
